Source_File,Page_Number,Formal_Context,Formal_Query,Colloquial_Query
RAUVISIO House lines Cleaning Instructions.pdf,1,"For updates to publication, visit  na.rehau.com/resourcecenter The information contained herein is believed to be reliable, but no representations, guarantees or warranties of any kind are made as to its 
accuracy, suitability for particular applications or the results to be obtained therefrom. Before using, the user will determine suitability of the information for user’s intended use and shall assume all risk 
and liability in connection therewith.                                    © 2023  REHAU     122.17   03.2023
Dish soap diluted with water is acceptable to use on any RAUVISIO product. 
REHAU is not responsible for any damage done by abrasive cleaning products or procedures.
Surface General cleaning Strong solvents Other acceptable cleansers
RAUVISIO brilliant™
Only use microfiber cloths, no harsh chemicals or abrasives.  
Clean with a mild soap if needed. Do not dry-wipe the acrylic 
finish. Do not use paper towels, brushes or scouring pads. 
Do not use None
RAUVISIO noir™
Most cleansers, disinfectants and solvents are okay for use.  
Clean with a damp microfiber cloth and mild soap if needed. 
Harsh chemicals should be avoided. Do not use brushes or  
scouring pads. 
Okay for use Simple Green, ethanol, 
isopropyl alcohol
RAUVISIO shade™
No harsh chemicals, abrasives or high acid content cleansers. 
Clean with a damp microfiber cloth and mild soap if needed. 
While the surface is scratch resistant, it should never be 
dry-wiped. Do not use paper towels, brushes or scouring pads.
Do not use Window cleaner diluted  
with water
RAUVISIO crystal™
Only use microfiber cloths, no harsh chemicals, strong solvents  
or corrosive abrasive cleanser. Clean with a mild soap if needed. 
Do not use paper towels, brushes or scouring pads. 
Do not use Simple Green, ethanol, 
isopropyl alcohol
RAUVISIO terra™
Most cleansers, disinfectants and solvents are okay for use.  
Clean with a damp microfiber cloth and mild soap if needed. 
While the surface is scratch resistant, it should never be 
dry-wiped. Harsh chemicals should be avoided. Do not use 
brushes or scouring pads.
Okay for use None
RAUVISIO ingrain™
No harsh chemicals, abrasives or high acid content cleansers. 
Clean with a cotton dish towel and mild soap if needed. Do not 
use brushes or scouring pads.
Do not use None
RAUVISIO ferro™
No harsh chemicals, abrasives or high acid content cleansers. 
Clean with a damp microfiber cloth and mild soap if needed. Do 
not use paper towels, brushes or scouring pads. 
Do not use Window cleaner diluted  
with water
RAUVISIO HouseSM surface lines cleaning guide","What are the recommended cleaning procedures and products for each RAUVISIO product variant, considering factors such as harsh chemicals, abrasives, and high acid content?",Can I use dish soap on my RAUVISIO stuff? What about other cleaners like Simple Green or ethanol?
RAUVISIO House lines Fire Rating Flyer.pdf,1,"Fire ratings for RAUVISIO House lines
RAUVISIO House line Fire behavior
T est standard: DIN 4120/1
Requirements: N/A
Flame spread index 
T est standard:ASTM E84
Requirements: Class C: 76-250
Smoke developed index 
T est standard: ASTM E84 
Requirements: Class A, B, C: 0-450
RAUVISIO brilliant B2 (normal combustibility) TBD TBD
RAUVISIO crystal B2 (normal combustibility) 180 750
RAUVISIO ingrain B2 (normal combustibility) TBD TBD
RAUVISIO ferro B2 (normal combustibility) 185 170
RAUVISIO House line Fire behavior
T est standard: ASTM E84
Requirements:  
       Class A: 0-25
       Class B: 26-75 
       Class C: 76-250
Flame spread index 
T est standard: ASTM E84
Requirements:  
       Class C: 76-250
Smoke developed index 
T est standard: ASTM E84 
Requirements:  
       Class A, B, C: 0-450
RAUVISIO noir Standard: Class B 
Fire resistant: Class A
Standard: 40
Fire resistant: 0
Standard: 40
Fire resistant: 0
RAUVISIO terra Standard: Class B
Fire resistant: Class A
Standard: 45
Fire resistant: 0
Standard: 80
Fire resistant: 0
RAUVISIO shade TBD TBD TBD
For updates to publication, visit  na.rehau.com/resourcecenter
The information contained herein is believed to be reliable, but no representations, guarantees or warranties of any kind are made as to its 
accuracy, suitability for particular applications or the results to be obtained therefrom. Before using, the user will determine suitability of 
the information for user’s intended use and shall assume all risk and liability in connection therewith.    
© 2023  REHAU       122.18   04.2023","What are the specific fire rating requirements for RAUVISIO House lines, as defined by DIN 4120/1 and ASTM E84 standards, considering flame spread index, smoke developed index, and Class A, B, or C ratings?",Can you tell me what kind of fire resistance does the RAUVISIO House line have? Is it good for my home?
RAUVISIO House Program Guide 2025.pdf,1,"Surround yourself 
with meaning.
Craft made-to-measure spaces that transport 
you to soulful places. From surface to edge, 
RAUVISIO™ engineered materials set you apart.
na.rehau.com/surfaces",What are the specific characteristics of RAUVISIO™ engineered materials that enable the creation of made-to-measure spaces with unique properties?,"Can I get some cool, customizable surfaces for my home decor?"
RAUVISIO House Program Guide 2025.pdf,2,"Contents
08 RA UVISIO brilliant ™
 high-gloss acrylic surface
16 RA UVISIO noir ™
 mono tonic matte surface
24 RA UVISIO noir ™ compact
 mono tonic matte surface
26 RA UVISIO shade ™
 super -matte PET surface
34 RA UVISIO crystal ™ 
acrylic surface 
42 RA UVISIO crystal slim ™ 
acrylic surface
44 RA UVISIO terra ™
 so ft, textured HPL surface  
52 RA UVISIO ingrain ™ 
wood fiber laminate surface
  
60 RA UVISIO ferro ™
 metallic PET  surface
70 Door  options
72 I ntegrated handles 
74 Floating shel ves
75 P rogram additions
76 Custom lamination
78 REHAU edgeband
 
82 Designer  resources
84 O nline door portal 
84 O rdering information
85 Service and car e, including warranty
86 RA UVISIO surfaces overview
  
Cover: RAUVISIO terra Craft Elm  
Right: RAUVISIO terra various colors
RAUVISIO House  
program guide 2025","What are the specific surface materials and finishes available for RA UVISIO products, including any variations in texture or color?",What kind of surfaces do you have for your doors? Can I get a soft one or something metallic?
RAUVISIO House Program Guide 2025.pdf,3,"Find inspiration in the colors, textures and 
technologies of our RAUVISIO House lines. From 
gloss to matte, crystal, natural and metal, each line 
is curated to be a classic of modern living and 
human-made for precision and permanence.","What are the specific characteristics of each RAUVISIO House line, and how do they differ in terms of material properties and technological applications?",What's the difference between all these house lines? Are some better than others for certain things?
RAUVISIO House Program Guide 2025.pdf,4,"RAUVISIO House is your single stop for coordinated 
laminates, boards, edgeband, fabricated panels and 
modern cabinet doors, each in a myriad of colors and 
finishes. Every detail is important as we manufacture 
panels and fabricated components using advanced 
surface technologies, specialized PUR lamination and 
zero-joint REHAU LaserEdgeTM edgebanding – giving 
you the highest quality from surface to edge.",What advanced surface technologies and specialized lamination methods are employed in the manufacturing process of RAUVISIO House's panels and fabricated components to ensure a high-quality finish from surface to edge?,What kind of fancy tech do you use to make your panels look so good?
RAUVISIO House Program Guide 2025.pdf,5,"09
RAUVISIO brilliant
Plunge into reflection.
RAUVISIO brilliant high-gloss acrylic surface creates 
a space where voyaging beyond the surface 
becomes part of everyday life. More than a glossy 
finish, this material transports you with layers of 
color that illuminate their surroundings, making 
them swirl with watery fullness.
Left: RAUVISIO brilliant Cubanite; RAUVISIO crystal Menta polished; RAUVISIO noir compact Casa Blanca  
Above: RAUVISIO brilliant Cemento","What is the precise composition and optical properties of the RAUVISIO brilliant high-gloss acrylic surface, particularly with regards to its color layers and reflective capabilities?",How does this fancy material make things look so cool and watery?
RAUVISIO House Program Guide 2025.pdf,6,"10 11
Prugna 5642B Roccia    2101L Titanio* 2102L
Cemento  1919L
Cubanite* 5338B Gabbiano* 6339B Grafite 2100L
Magnolia  5335B Meringa    5026B Moro 5112B
Bianco 5000B Bigio* 6340B Cappuccino 1917L
* Color has directionality
Water captivates.
Life below the surface has always fascinated us. We have, in RAUVISIO brilliant, distilled a water-like reflective quality and 
curated colors that are inspired by the abundance or lack of water. Submerge yourself in collective memories found in these 
colorful and tranquil landscapes. In these spaces, diving beyond the surface becomes part of everyday life.
RAUVISIO brilliant","What is the significance of the asterisk (*) notation in the color palette description, particularly with regards to directionality and its implications on material selection for RAUVISIO brilliant products?","Hey, what's up with all these weird colors? Can I get a list of actual names or something?"
RAUVISIO House Program Guide 2025.pdf,7,"12 13
5-piece profile
High-gloss acrylic laminate
High-gloss acrylic laminate
High-gloss LaserEdge
High-gloss acrylic laminate
High-gloss acrylic laminate
High-gloss LaserEdge High-gloss acrylic laminate
Slab profile
3/4"" nom. stiles and rails
1/4"" nom. center panel
Profile specifications
Appearance High-gloss
Door style Slab and 5-piece
Design style Modern, contemporary
Construction PUR laminated face and back, REHAU LaserEdge
Shaker stiles and rails 3 in (76.2 mm), custom widths also available
Face material High-gloss acrylic, multiple colors
Back material High-gloss acrylic, matching color
Edgeband High-gloss ABS, matching color
Core Super-refined MDF
Board thickness 3/4 in (19.3 or 19.1* mm)
 
Cabinet door size parameters
Minimum slab 3 x 5 in (76.2 x 127 mm)
Maximum slab 50 x 109 in (1270 x 2768.6 mm)
Minimum 5-piece 8-7/8 in W x 11 in H (225.4 mm W x 279.4 mm H)
Maximum 5-piece 30 in W x 65 in H (762 mm W x 1651 mm H)
Edgebanding profile
T op edge 1.0 mm radius
Bottom edge 1.0 mm radius
Edgeband finish Mirror gloss, color matched
Accessory products
1/4 in. thick components Cut-to-size with raw edges
Integrated handle 1-17/64 and 5/64 in (32 and 2 mm)
Floating shelves 22 to 96 in (558.8 to 2438 mm) wide
Appliance end panels 1.5 in thick panel, up to 4 ft W x 9 ft H
 
Finished door & component options
RAUVISIO brilliant
Material options
Cleaning and care
Clean with a damp microfiber cloth and mild soap if needed. Do not 
dry-wipe the acrylic finish. Avoid abrasive cleaners, solvent-based 
cleaners and harsh chemicals. Do not use paper towels, brushes or 
scouring pads. REHAU is not responsible for any damage done by 
abrasive cleaning products or procedures.  
Protective coat
A protective peel coat is applied to the top of the high-gloss surface, as 
well as to the edgebanded sides. Do not expose peel coat to direct 
sunlight before removal. Remove promptly after installing cabinet but 
prior to mounting decorative hardware. T o remove peel coat, use rubber 
fingertips or our peel coat removal tool.
na.rehau.com/brilliant
RAUVISIO brilliant
Features & benefits
 ▪ Mirror-like reflective quality
 ▪ Decades of UV stability  
 ▪ Intense color depth  
 ▪ Chemical and stain resistant
 ▪ Up to 60% lower production costs  
      compared to painted components
 ▪ Normal woodworking tool processing
 ▪ Ability to miter fold and cut
 ▪ Double-sided finished panel or cabinet door
 ▪ Matching floating shelves
Board specifications
Construction PUR laminated face and back
Face material High-gloss acrylic, multiple colors
Back material High-gloss acrylic, multiple colors
Core Super-refined MDF
Size 51 x 110 in x 19.3 or 19.1* mm 
 
Laminate specifications
Construction Acrylic
Material High-gloss acrylic
Size 51 x 110 in x 0.7 mm 
Edgebanding options
ABS Mirror gloss 23 x 1.0 mm x 100 M
ABS Mirror gloss LaserEdge 23 x 1.2 mm x 100 M
ABS Mirror gloss 43 x 1.0 mm x 100 M
*We are in the process of updating the board size for this surface line.  
For the latest updates and information on affected colors, please contact our customer service team.","What are the specifications for the edgebanding profile on REHAU's LaserEdge high-gloss acrylic laminate products, particularly with regards to the top and bottom edges?","Hey, what's the deal with the edgebanding on these cabinet doors? Can I get some more info on that?"
RAUVISIO House Program Guide 2025.pdf,8,"14 15
Visual characteristics
T est standard Requirements Result
Surface gloss level AMK-MB-009, 09/2010 60o measurement High-gloss: > 85 GLE
Color AMK-MB-009, 09/2011 No significant changes to 
master sample
Pass
Surface AMK-MB-009, 09/2012 Uniform surface, no defects 
visible from 0.7m
Pass
Lightfastness DIN EN ISO 4892-2 Art B 
(behind window glass)
Assessment according to  
blue scale
≥ Level 7
Assessment according to DIN 
EN ISO 105 A02
Assessment according to  
blue scale
≥ Level 4
 
Surface properties
Chemical resistance DIN 68861/T1 High-gloss: 1A 1A
Scratch-resistance DIN 68861/T4 High-gloss: 4D 4D
Performance in dry heat 68861/T7/ DIN EN 12722 DIN 
CEN TS 16209
Stress group min: 7D 
Class C
No change at 70C
Performance in moist heat 68861/T8/ DIN EN 12721 Stress group min: 8B No change at 70C
Material properties
T op laminate raw density DIN EN 323 - 1.35g/cm
3
Fire behavior DIN 4102/1 - B2 (normal combustibility)
Material unit/Sand content Residue on ignition - ≤1%
Formaldehyde emissions EN 622 and TSCA Title VI Class E1: < 0.09 PPM
TSCA: < 0.11 PPM E1/CARBII/TSCA Title VI
Finished component test (AMK Kitchen T ests)
T emperature resistance AMK-MB-001 Pass Pass
Infiltration of water vapor AMK-MB-005 module 1 Pass Pass
Humid climate resistance AMK-MB-005 module 2 Pass Pass
Alternating climate 
resistance
AMK-MB-005 module 3 Pass Pass
Long-term heat storage:  
4 weeks at 50C
Assessment after 24 hrs Pass Pass
Environmental
Forest Management  
Certifications
- - PEFC Certification
Indoor air comfort - ultra 
low VOC
RAL-GZ 430 Less than 3 mg/m
3 TVOC after 
3 days, less than 0.4 mg/m3 
after 28 days
Pass (0.0mg/m3)
REACh (EG) 1907/2006 (REACh) Article 
33
Contains less than 0.1% of any 
""substances of very high 
concern""
Pass
RoHS 2011/65/EU (RoHS), appendix II 
(including amendment 
2015/863/EU 31MAR2015)
Contains no restricted 
substances
Pass
 
Material properties & performance
RAUVISIO brilliant
RAUVISIO brilliant high-gloss acrylic surface features a color-
matched PMMA layer instead of a clear top layer, giving it 
intense color depth with decades of UV stability. With tones 
from tranquil to vibrant, this supremely reflective material is 
offered as boards and edgeband or fabricated panels and 
cabinet doors. Double-sided panels and doors are supplied with 
an MDF core that is CARB2, TSCA Title VI certified and finished 
with perfectly matched REHAU LaserEdge. 
The result: Whites that stay white and colors that remain true, 
combined with the monolithic aesthetic of a high-end lacquered 
door. Ride the waves of uninhibited reflection and plunge 
beneath the surface to colorful depths with RAUVISIO brilliant.
RAUVISIO brilliant Meringa
RAUVISIO brilliant","What are the specific requirements for the surface gloss level of RAUVISIO brilliant high-gloss acrylic surfaces, and how do they compare to the standards outlined in DIN EN ISO 4892-2?",How does RAUVISIO brilliant keep its colors from fading or changing over time?
